id,iron_mg,magnesium_mg,zinc_mg,vitamin_d_mcg,vitamin_c_mg,vitamin_b12_mcg
168046,0.56,26,0.54,0,0,8.08
168047,0.79,24,0.52,0,0,7.38
168048,0.4,15,0.28,0,9.2,0
168049,11,62,9.4,0,0,15.1
168050,4.1,26,2.1,0,0,7.05
168051,17,29,3.1,0,0,5.85
168052,4.1,85,5,0,0,18.4
168053,17,17,2.6,0,0,0
168054,2.2,68,1.4,0,0,28.6
168055,9.06,26,7.79,0,0,4.25
168056,7.17,22,5.82,0,0,3.45
168057,2.68,26,4.8,0,0,1.95
168058,0.4,21,0.19,0,0.7,0
168059,2.96,84,1.79,15.7,0,22.4
168060,0.64,25,0.57,15.1,0,5.79
168061,1,12,1.6,0,0,0.68
168062,0.68,26,0.95,0,0,0.4
168063,0.23,11,0.5,0,0,0.08
168064,1.57,26,0.74,0,0,0
168065,1.22,21,0.71,0,0,0
168066,0.29,14,0.74,0,0,0
168067,0.87,26,1.2,0.3,16.4,0.11
168068,1.76,41,0.67,0,0,0
168069,0.68,10,1.06,0,0,0.45
168070,1.04,27,0.8,0,0,0
168071,1.78,19,0.91,0,0,0
168072,1.11,15,1.5,0.1,11.6,0.48
168073,0.58,29,0.67,0,0,0.13
168074,1.53,19,0.8,0,0,0.69
168075,0.71,34,0.94,0,0,3.1
168076,0.84,21,1.98,0,0,0.95
168077,1.54,26,0.85,0,0,0.4
168078,0.79,23,0.58,0,0,0.19
168079,1.34,22,0.73,0,0,0.16
168080,0.72,16,0.49,0,11.3,0.21
168081,2.12,15,0.42,0.2,2.4,0.09
168082,3.07,13,1.07,0,2.3,0.19
168083,0.67,11,0.32,0,2,0.07
168084,0.42,9,0.19,0,7.2,0
168085,1.03,18,0.68,0,0.6,0.13
168086,0.89,15,0.7,0,0.8,0.21
168087,1.09,22,0.91,0.1,1,0.25
168088,0.05,4,0.13,0,0,0
168089,0.7,30,3,0,0,0.83
168092,1.35,20,2.36,0,0,0.26
168093,0.35,2,0.18,0.1,0.6,0.12
168094,0,0,0,0,0,0
168095,1.45,67,1.47,0,0.6,0.46
168096,0.13,2,0.04,0,0.4,0.07
168097,0.56,0,0.05,0,0,0
168098,0.72,27,3,0.4,0,0.83
168099,0.25,5,0.18,0,0,0
168100,0.26,5,0.18,0,0,0.1
168101,1,12,1.83,0.4,1,1.4
168102,1.31,46,0.92,0,1,0.33
168103,0.04,40,0.49,0,0.7,0.49
168104,0.46,25,0.28,0.1,0,0.07
168105,0.46,10,0.28,0.1,0.7,0.07
168106,7.8,271,3.4,0,0,0
168107,1.49,131,3,0,0,0
168108,1.73,116,1.86,0,0.6,0.22
168109,0.26,5,0.18,0,0,0.1
168110,1.37,21,2.55,0.8,0,0.69
168111,1.48,14,2.88,0.8,0,0.65
168112,0.26,2,0.18,0,0,0.21
168113,0.47,8,0.02,0,25.7,0
168114,0.14,5,0.38,0,0,0.63
168115,0,0,0.11,0,0,0.06
168116,2.32,146,2.46,0,0,0.36
168117,0.25,6,0.1,0,9.3,0
168118,1.4,10,2,0.7,0,1.41
168119,1.51,20,0.23,0,15.5,0
168120,1.79,25,2.96,0,0,0.35
168121,0.39,22,2.99,0.6,0,0.7
168122,0.06,2,0.02,0,0,0
168123,0.06,3,0.02,0,32,0
168124,0.17,36,3.9,0.5,0,1.68
168126,2.78,54,1.48,0,0,0
168127,1.7,70,0.85,0,2,0
168128,0.29,32,1.4,0,3.1,0
168129,2.27,2,0.42,0,0,0.02
168130,0.72,29,0.63,0.2,0.7,0.38
168131,1.43,3,2.17,0.9,0,1.54
168132,0.67,1,0.47,0,10.4,0
168136,1.02,32,0.64,0.3,0.5,0.18
168137,1.63,97,1.15,0,0.2,0.06
168138,34.82,50,5.03,4.6,0,9.67
168139,2.28,151,3.83,0,0,0
168141,0.17,36,3.9,0.1,0,1.68
168142,0.11,0,0.09,0,0,0
